,polarity,text
232,negative,@JumiaKenya Need to change an order that I've confirmed.
852,negative,"@JumiaKenya I placed an order whose destination is Kakamega.I can't make a follow up for it,no. 307189186. Please give me an update on that"
1296,neutral,"@JumiaKenya pliz confirm my order 302756786, its still pending or call me"
1322,negative,@JumiaKenya what's the status of Jumia Order 302789986?Taking too long
480,negative,"that's too long, why don't you opt for wellsfargo or G4s? I thought within 48 hrs I'll be having it."
1305,neutral,@JumiaKenya where are your offices in mombasa I need some help and information.
1169,neutral,this number 0700480966 doesn't seem to be a Jumia Kenya number.
664,neutral,Nope. Where the said item can be repaired. Call 0735825392
928,neutral,"@JumiaKenya I'd like to track my purchase, order no 304489186, date 06/08/17. Is it possible to pick it today? Kemunto"
77,negative,to say am disappointed is an understatement!!i bought when they were on discount now some are not even there!!!!
94,neutral,will they exchange it for me or what is the use of going there??
971,neutral,@JumiaKenya follow for dm
1267,negative,@JumiaKenya Can I please understand this calculations here! I have been trying... pic.twitter.com/y16Pxmmn6o
710,neutral,what time do you close?
1493,neutral,A 4G enabled phone
973,neutral,Please do. Would have loved to book through you guys
595,neutral,@JumiaKenya Hi when are you delivering this item. I received an email that it was shipped on 14/8/2017? pic.twitter.com/1JjVpyVwJP
1436,positive,Thanks for the feedback
1595,positive,lovely ...what about delivery
896,negative,@JumiaKenya what's the status on my order 306865686 am not being notified.
782,negative,"Kindly take this machine and refund me so that I can buy a new one, or bring me what I ordered. This is turning to be a nightmare."
1096,negative,@JumiaKenya hey it's been more than two weeks since you said you will refund me. Kindly do so am loosing patience with your operations
193,neutral,Follow for DM
1095,negative,@JumiaKenya mnamake deliveries Canaan ama tujipange
461,negative,"@JumiaKenya Order #306362986 was to be home delivered, yet I'm being called by my pickup station for the items. What's wrong?"
768,negative,The voucher is undergoing quality check? On second thought I want my money back via MPESA. 24 days are already over.
932,neutral,Pay as you're given
1257,negative,And you are not helping me now.
1078,neutral,Any feed back on the order as per inquiry yesterday??
825,negative,"@JumiaKenya ,,TELL 0727099321 MR JACKSON MAKORI TO MAKE MY DELIVERY AS SCHEDULED!!!!!HES THE ONE I GOT AN SMS HE SHUD DELIVER"
1449,neutral,why cancel? can't it be replaced?
727,neutral,Can you please check my order 308576386 if its shipping to Narok posta
949,negative,@JumiaKenya are u guys there Ama mumeenda vote
1406,negative,"@JumiaKenya Good Morning. As promised no communcation on both cited parties, that is from you Jumia and Innjoo Customer care"
49,neutral,"Am at chuka and placed my order yesternight, is it possible to be dropped tommorow and am not yet called to confirm?"
519,neutral,@JumiaKenya kindly call to confirm this order#307298476
195,neutral,Delivery?
59,positive,Thank you
804,neutral,Proof...I want my package tomorrow Saturday pic.twitter.com/LoJqucyJ61
1,negative,"@JumiaKenya kindly trace for me my order which were cancelled with no clear reason.order number 302114876,my number 0722968081"
598,positive,Thanks
255,negative,You don't have a timeline for refunds?
